Columna1;title;abstract
10;Severe drought exposure in utero associates to children’s epigenetic age acceleration in a global climate change hot spot;The goal of this study is to examine the association between in utero drought exposure and epigenetic age acceleration (EAA) in a global climate change hot spot. Calculations of EAA in adults using DNA methylation have been found to accurately predict chronic disease and longevity. However, fewer studies have examined EAA in children, and drought exposure in utero has not been investigated. Additionally, studies of EAA in low-income countries with diverse populations are rare. We assess EAA using epigenetic clocks and two DNAm-based pace-of-aging measurements from whole saliva samples in 104 drought-exposed children and 109 same-sex sibling controls in northern Kenya. We find a positive association between in utero drought exposure and EAA in two epigenetic clocks (Hannum’s and GrimAge) and a negative association in the DNAm based telomere length (DNAmTL) clock. The combined impact of drought’s multiple deleterious stressors may reduce overall life expectancy through accelerated epigenetic aging.
11;The need for nonuniform risk acceptability across climate change scenarios.;Climate change risk assessment studies focus on identifying and analyzing different risks considering several climate change scenarios and on evaluating the cost-effectiveness of different adaptation measures. However, risk acceptability is often not reflected on in the context of climate change risk studies. Noting that the different climate change scenarios depict drastically contrasting images of the future in terms of population growth, economic development, and changes to life expectancy, this article uses risk acceptance criteria that are based on socioeconomic considerations to highlight the need for nonuniform risk acceptability across climate change scenarios. For this purpose, the optimum implied cost of averting a fatality derived based on the life quality index concept and the value of a quality-adjusted life year derived based on the time principle of acceptable life risk are assessed in three different climate change scenarios for Sweden. Additionally, an illustrative example that assesses the acceptable probability of failure of a steel rod under axial tension in the different climate change scenarios is presented. It is shown that risk acceptance criteria can vary considerably across the different climate change scenarios (e.g., more than 190% variation in the acceptable probability of failure for Sweden in the considered example). This article demonstrates that the ability of societies to afford risk-reducing measures may vary considerably across the different climate change scenarios. Hence, it can be concluded that (1) in the context of climate change risk assessments, risk acceptance criteria need to be developed to account for the different climate change scenarios, and (2) these criteria may vary considerably across the different climate change scenarios. Finally, relevant challenges and research needs are also provided.
12;Global Health Impact from Climate Change;The phenomenon of climate change is impacting the planet with notable effect. Polar ice is melting, ocean levels are rising, daily temperatures are increasing, forest fires are burning longer and destroying more residential areas, and urban air quality levels are deteriorating. At the same time, human health is experiencing the effects of exposure to changing climate. Research has indicated that extreme climactic conditions can shorten life expectancy and impact cardias, respiratory and mental health as well as facilitating the spread of some infectious diseases. The health related impacts of climate change merit serious attention in the patient and provider communities. Opportunities to effectuate meaningful changes are examined
13;Impacts of Climate Change on Mortality: An extrapolation of temperature effects based on time series data in France;Most contemporary mortality models rely on extrapolating trends or past events. However, population dynamics will be significantly impacted by climate change, notably the influence of temperatures on mortality. In this paper, we introduce a novel approach to incorporate temperature effects on projected mortality using a multi-population mortality model. This method combines a stochastic mortality model with a climate epidemiology model, predicting mortality variations due to daily temperature fluctuations, be it excesses or insufficiencies. The significance of this approach lies in its ability to disrupt mortality projections by utilizing temperature forecasts from climate models and to assess the impact of this unaccounted risk factor in conventional mortality models. We illustrate this proposed mortality model using French data stratified by gender, focusing on past temperatures and mortality. Utilizing climate model predictions across various IPCC scenarios, we investigate gains and loss in life expectancy linked to temperatures and the additional mortality induced by extreme heatwaves, and quantify them by assessing this new risk factor in prediction intervals. Furthermore, we analyze the geographical differences across the Metropolitan France.
14;Climate change and health outcomes in Sub-Saharan African countries;This paper examines the effect of climate change on health outcomes in sub-Saharan Africa (SSA). Greenhouse gas emission was used as the measure of climate change, while life expectancy rate was used as the measure of health outcomes. This paper's significant contribution is how the interaction of climate change and government effectiveness index influence health outcomes in SSA. We estimated the impact of climate change on health outcomes using the panel system generalized method of moments (GMM) method. Our empirical result show that there is a negative and significant relationship between climate change and life expectancy in the short and long run. In addition, we find that if effective government policy is interacted with climate change, this mutes the negative impact of climate change on health outcomes in SSA. This implies that, with effective government policies targeted toward achieving net zero carbon emission, climate change is not expected to have a significant impact on health outcomes in SSA.
15;Climate crisis threatens gains in life expectancy, report warns;If the world follows a “business as usual pathway” in relation to the climate emergency, a child born today will face a world that is on average 4°C warmer by their 71st birthday—putting their health under threat at every stage of their lives, a global report on health and climate change has warned.1  As temperatures rise harvests will shrink, threatening food security and driving up food prices in the decades ahead, said the Lancet Countdown report. Infants and small children will be among the worst affected by malnutrition and related health problems such as stunted growth, weak immune systems, and long term developmental problems.  Nick Watts, executive director of the Lancet initiative, said, “The damage done in early childhood is persistent and pervasive, with health consequences lasting for a …
16;Mortality rate and life expectancy in Africa: the role of flood occurrence;PurposeThe purpose of this paper is to investigate the effect of flood occurrence on mortality rate and life expectancy amongst 53 African countries.Design/methodology/approachThe study utilizes panel data from the period 2000–2018 on 53 African countries and system generalized method of moments (system GMM) for the analysis.FindingsThe result indicates that flood occurrence causes the destruction of health facilities and the spread of diseases which reduces life expectancy. In addition, flood occurrence increases mortality rate amongst 53 African countries.Research limitations/implicationsPractical implicationsThe study recommends that governments amongst African countries should implement strategies being enshrined in Conference of Parties (COP, 2021) on climate change. This will help to reduce the level of climate change and flood occurrence.Originality/valuePrevious studies focussed on the adverse effect of flood occurrence without considering the issue of life expectancy amongst African countries. This study contributes to existing empirical studies by examining the effect of flood occurrence on mortality rate and life expectancy amongst African countries.Peer reviewThe peer review history for this article is available at: https://publons.com/publon/10.1108/IJSE-07-2022-0508.
17;How will climate change affect ambient air pollution and what can policy-makers do now? Lessons from India;Air pollution is a growing concern in India, and its adverse health effects are well documented. Climate change is likely to exacerbate this problem by altering weather patterns and increasing the frequency and severity of extreme events. This paper examines the potential impact of climate change on ambient air pollution in India and its implications for policy design. Our analysis reveals that pollution in India is highly sensitive to variation in weather, particularly in the densely populated Indus-Gangetic Plain. Using our estimated relationship between weather and pollution, we predict that changing weather patterns will increase average PM2.5 concentrations by 3.1 µg/m3, leading to a loss of 364 million years of life expectancy. To address this challenge, we propose an emissions fee calibrated to be highest in regions most vulnerable to persistently high levels of pollution and most sensitive to future deterioration in air quality due to climate change.
18;COVID-19, global health and climate change: Causes and convergences;Despite massive global economic growth and advances in science and medicine with spectacular aggregate and individual improvements in health and life expectancy over the past century, the world has now become severely unstable in multiple domains – biological, sociological, political, ecological, economic, and health care. These pervasive instabilities are organically interactive within a complex world system that has reached crisis status at local, global, and planetary levels. Lying at the heart of this complex crisis are long-neglected disparities in health and well-being within and between countries, the refusal to face how these and climate change have arisen, and how economic considerations have fuelled the trend towards entropy (gradual decline of the planet into disorder). The critical point we have reached, starkly highlighted by the emergence of the COVID-19 pandemic pari passu with ongoing climate change and planetary degradation, reminds us of our global interconnectedness with each other and with nature. Comprehending and acknowledging the myriad, humanly constructed forces in each of these domains influencing all aspects of life, are the first steps towards effectively facing challenges to our health, our humanity (collectivity as humans) and our planet. Overcoming denial, acknowledging the magnitude and complexity of these challenges, prescient vision and dedicated action capable of fostering the cooperation for overcoming obstacles are now vital to seeking peaceful pathways towards more equitable and sustainable lives. South Africa is a microcosm of the world, with its local threats and challenges mirroring the global. Significance: Instabilities that pervade the world, highlighted by the COVID-19 pandemic, are especially significant for South Africa, where they manifest most starkly because of its apartheid legacy, its relative success economically on the African continent, and the implications of ongoing widening disparities and antagonism amongst South Africa’s diverse people. Belief in moving towards narrowing wide disparities through decolonisation and reversion to an ‘idyllic African heritage’ via a transformation that includes widespread corruption, and the ANC government’s perverse erosion of lives today and in the future through ‘state capture’, intensifies rather than ameliorates our predicament in an era when cooperation and a clear vision of current threats and future possibilities are desperately needed. In an accompanying article, potential pathways towards a better future are offered through suggested shifts in paradigms of thought and action.
19;Allocation of Healthcare Resources in National Health Systems Under Climate Change;Climate change has, among others, impacts on human health and by consequence on healthcare systems. Some impacts are direct such as extreme events, air pollution and aeroallergens, and some are indirect such as reduced food production and supply, vector-borne and water-borne infectious diseases, and social and economic disruptions. The main aim of this paper is to study the pressures of climate change on national healthcare systems. An empirical dynamic resource allocation problem is proposed to estimate how healthcare systems may be affected by climate change. The problem is formulated as a nonlinear programming model which finds the optimal allocation of healthcare resources that compensate for life expectancy reductions due to climate change. We examine various scenarios of climate impacts to estimate the additional budget and healthcare resources needed. The results show that the necessary healthcare budget grows nonlinearly with respect to impacts with disproportional demands on lower income countries. Finally, the necessary healthcare investments should be made sooner as climate impacts become heavier. Our methodology could aid policy-makers in prioritizing measures to enhance the climate resilience of national healthcare systems.
20;Clinical public health, climate change, and aging;The United Nations report also highlights that life expectancy at birth is rising and is projected to continue rising, predicting that by 2050 the global mean lifespan will be about 77 years.3 In the past few decades, population aging has become widespread, whereas historically it was localized to a few geographic areas, such as Japan and Europe.2 Today, aging populations in East and Southeast Asia, Latin America and the Caribbean, Australia and New Zealand, and Europe and North America are driving the phenomenon of global population aging.3 Of course, aging is a normal physiologic process. There are numerous changes that occur as people age, including changes to body fat distribution and thermoregulatory mechanisms, as well as a general slowing of metabolism. As we age, we also experience the combined effects of various insults to our health over our lifespan, which for some result in disease or illness. Noncommunicable diseases are common in the elderly population, representing globally approximately 426 million disability-adjusted life-years lost among those older than 70 in 2019.4 Not surprisingly, in highincome countries, polypharmacy also increases as humans age,5 further increasing the risk of adverse health effects. In addition, as people age, their social capital might decrease as they leave the work force, and they might lose family members and peers or increase their dependence on others.
21;Exploring the impacts of COVID-19 pandemic on Algeria’s energy used and climate change based on Olduvai theory;The Death of Industrial Civilization explains how the contemporary ecological crisis within industrial society is caused by the values inherent in unlimited economic growth and competitive materialism. It demonstrates the central role and importance of electricity, and what policy makers need to do in order to ensure that current and future systems remain reliable even as they are transformed by the rise of clean energy technologies. The novel COVID19 pandemic has created an unprecedented global health and economic crisis. The result of such a scenario is that energy demand contracts by 6%, the largest in 70 years in percentage terms and the largest ever in absolute terms. The impact of Covid19 on energy demand in 2020 would be more than seven times larger than the impact of the 2008 financial crisis on global energy demand and this is what the Olduvai theory is defined by e=energy production/population. It states that the life expectancy of Industrial Civilization is less than or equal to 100 years.
22;The Intergenerational Consequences of Climate Change on Later Life Mortality: Evidence from Individual-Level U.S. Death Records;Global climate change can impact populations rapidly through the increased occurrence of natural disasters and climate extremes, but also through long-term, gradual changes that alter environmental conditions and impair biological processes. Here, I investigate whether ambient temperatures in utero and during the early years of life are associated with reductions in life expectancy. I combine monthly, state-level climatological data from the National Oceanic and Atmospheric Administration with high-resolution, individual-level mortality data from the CenSoc Project, which consists of cleaned and harmonized Social Security Administration death records from 1988-2005. Results indicate that exposure to higher ambient temperatures during gestation and the first four years of life are associated with increased mortality risk in later life for white men from low socioeconomic status backgrounds, but not other groups. It is likely that the effect of climate variability on later life mortality for non-white men is overshadowed by structural systems of racism that impact health stratification. Overall, the results emphasize how climate change has already begun to imprint itself onto demographic processes.
23;Effect of particulate matter (PM2.5 and PM10) on health indicators: climate change scenarios in a Brazilian metropolis;Recife is recognized as the 16th most vulnerable city to climate change in the world. In addition, the city has levels of air pollutants above the new limits proposed by the World Health Organization (WHO) in 2021. In this sense, the present study had two main objectives: (1) To evaluate the health (and economic) benefits related to the reduction in mean annual concentrations of PM_10 and PM_2.5 considering the new limits recommended by the WHO: 15 µg/m^3 (PM_10) and 5 µg/m^3 (PM_2.5) and (2) To simulate the behavior of these pollutants in scenarios with increased temperature (2 and 4 °C) using machine learning. The averages of PM_2.5 and PM_10 were above the limits recommended by the WHO. The scenario simulating the reduction in these pollutants below the new WHO limits would avoid more than 130 deaths and 84 hospital admissions for respiratory or cardiovascular problems. This represents a gain of 15.2 months in life expectancy and a cost of almost 160 million dollars. Regarding the simulated temperature increase, the most conservative (+ 2 °C) and most drastic (+ 4 °C) scenarios predict an increase of approximately 6.5 and 15%, respectively, in the concentrations of PM_2.5 and PM_10, with a progressive increase in deaths attributed to air pollution. The study shows that the increase in temperature will have impacts on air particulate matter and health outcomes. Climate change mitigation and pollution control policies must be implemented for meeting new WHO air quality standards which may have health benefits.
24;Socio-economic and public health impacts of climate change and water availability in Aral District, Kyzylorda Region, Kazakhstan;The research aimed to investigate the impacts of climate change and water availability on the socio-economic aspects and overall health of the population in Aral District of Kyzylorda Region of the Republic of Kazakhstan. The study focused on the following indicators: demographic characteristics of fertility, mortality (total, infant, maternal), natural population growth and life expectancy, population health indicators, disease incidence growth due to adverse ecology and harsh climate in 2005-2019. In addition, a sociological survey was conducted (August 31-September 10) in 15 settlements inside the study area that included 120 people. The survey aimed to collect feedback from the district residents on their general wellbeing and health status. The questionnaires and survey allowed establishing that overall the residents in the study area were satisfied with their level of income, did not associate their health condition with climate change, and did not intend to migrate elsewhere. In other words, in Aral District of Kyzylorda Region population migration occurs mainly due to the desire to obtain secondary and higher education, as well as improve housing conditions. The water supply in the study area showed no significant regression relation with climate change due to the installation of water pumps and delivery of drinking water by tank trucks. The most important finding is that – contrary to the initial hypothesis – based on the survey outcomes, the district demonstrated a stable increase in population due to births and immigration. Thus, according to this study Kazakhstan’s section of the Aral Sea Region manifests no catastrophic situation.
25;Social Impacts of Climate Change in Bolivia: A Municipal Level Analysis of the Effects of Recent Climate Change on Life Expectancy, Consumption, Poverty and Inequality;This paper analyzes the direct evidence of climate change in Bolivia during the past 60 years, and estimates how these changes have affected life expectancy and consumption levels for each of the 311 municipalities in Bolivia. Contrary to the predictions of most general circulation models, the evidence shows a consistent cooling trend of about 0.2°C per decade over all highland areas, slight and scattered evidence of warming in the lowlands, and no systematic changes in precipitation. The estimations indicate that the 1°C cooling experienced in the already cold highlands over the past five decades likely has reduced consumption possibilities by about 2-3 percent in these areas. Since the much richer population in the lowlands have benefitted slightly from recent climate change, the simulations suggest that recent climate change has contributed to an increase in inequality and poverty in Bolivia. Poor and indigenous peoples in the highlands are among the most severely affected populations. No statistically significant effect on life expectancy was found.
26;Does Gender Climate Influence Climate Change? The Multidimensionality of Gender Equality and Its Countervailing Effects on the Carbon Intensity of Well-Being;"The carbon intensity of well-being (CIWB) (a ratio measuring the amount of CO2 emitted per unit of life expectancy at birth) is an increasingly popular way to measure the ecological efficiency of nations. Although research demonstrates that economic development typically reduces this efficiency, little research has explored the extent to which social equality improves it. This study uses panel data for 70 nations between 1995 and 2013 to assess how various aspects of gender equality affect the ecological efficiency of nations. We estimate a series of Prais-Winsten regression models with panel-corrected standard errors (PCSE) to assess how increases in the percentage of women in parliament, expected years of education for women, and the percentage of women in the labor force independently affect CIWB. Our findings indicate that across all nations, increases in the percentage of women in parliament and expected years of schooling reduce CIWB; however, increases in the percentage of women in the labor force increase CIWB. Our results further show that the relationship between different dimensions of gender equality and CIWB differs between more developed and less developed nations. Finally, we find that increases in the number of women in parliament and women’s education attenuate the relationship between women’s labor force participation and CIWB. We discuss the variation in our results by reviewing relevant eco-gender literatures and feminist economics."
27;Dynamic linkage between economic growth, renewable-energy electricity consumption, CO2 emissions and life expectancy in Malawi;This paper analyses the dynamic relationship between economic growth, renewable-energy electricity consumption, CO2emissions and life expectancy for Malawi, during the period between 1980 and 2010. Unit root tests were conducted using Augmented Dickey Fuller tests, whereas Zivot & Andrews test was used to check structural breaks within the data. The Gregory-Hansen Cointegration test revealed that there was cointegration among the variables. Empirical results from the Autoregressive distributive lag-Error Correction Model showed the existence of both long-run and short-run association among the variables. Today, climate change is an inevitable reality. Malawi and other developing countries are faced with some sort of a dilemma. On the one hand, they have to achieve high economic growth which will depend on energy as one of its drivers. On the other hand, they need to ensure that they reduce usage of non-renewable fossil fuels to maintain meaningful levels of carbon emissions in order to realize better health outcomes such as life expectancy. This issue is important in this respect and according to the results obtained, it has been revealed that there is a positive relationship between carbon emissions and the economy in the short term only. Furthermore, the study findings showed that economic growth has positive and significant relationship with renewable energy electricity consumption and life expectancy in the long term.
28;Health impacts of fine particles under climate change mitigation, air quality control, and demographic change in India;Despite low per capita emissions, with over a billion population, India is pivotal for climate change mitigation globally, ranking as the third largest emitter of greenhouse gases. We linked a previously published multidimensional population projection with emission projections from an integrated assessment model to quantify the localised (i.e. state-level) health benefits from reduced ambient fine particulate matter in India under global climate change mitigation scenarios in line with the Paris Agreement targets and national scenarios for maximum feasible air quality control. We incorporated assumptions about future demographic, urbanisation and epidemiological trends and accounted for model feedbacks. Our results indicate that compared to a business-as-usual scenario, pursuit of aspirational climate change mitigation targets can avert up to 8.0 million premature deaths and add up to 0.7 years to life expectancy (LE) at birth due to cleaner air by 2050. Combining aggressive climate change mitigation efforts with maximum feasible air quality control can add 1.6 years to LE. Holding demographic change constant, we find that climate change mitigation and air quality control will contribute slightly more to increases in LE in urban areas than in rural areas and in states with lower socio-economic development.
29;The Social Effects of Climate Change on the Health Outcomes of Vulnerable Older Adult Populations in the Global Community;As life expectancy rates continue to increase and fertility rates continue to decline globally in the 21st century, the demographics of aging populations are undergoing an unprecedented change that will have significant consequences for the health outcomes of older adults-at-risk. According to demographic data in a joint report authored by five federal agencies, 8.5% of the world's population is currently age 65 and older, a figure projected to double by 2050. This chapter presents an analysis of the impact of climate change on the health outcomes of aging populations worldwide. It examines how the collaborative efforts of the federal government and the public health system can be utilized to create policies and programs that can prepare aging communities to deal effectively with the health consequences of our changing environment.
30;Effects of climate change on the valley glaciers of the Italian Alps;Abstract. The behaviour of the valley glaciers of the Italian Alps as a result of the climate changes expected for the 21st century has been investigated. From 1980 to 2017 the average length reductions of these glaciers has been 16 % and their average areal reduction around 22 %, much smaller than the overall glacier retreat of the Alps. Their mean observed shortening was about 500 m for a temperature increase of 1.4 °C. To quantify the valley glacier life expectancy, a model estimating their length variations from the air temperature variations of the EuroCordex climatological projections of six different models under RCP4.5 and RCP8.5 scenarios has been used. The ensemble mean temperatures in the Italian Alps region under these scenarios indicate increases of temperature of ~2 °C and ~4 °C from 2018 to 2100 respectively. In both scenarios, the glacier model projections show a constant retreat until the eighties, weakening towards the end of the century. As expected, it resulted more severe under the RCP8.5 (from 22 % to 48 %) than under the RCP4.5 (from 10 % to 25 %) scenario, with a mean length shortening of 35 % and 13 % respectively by 2100. The model used estimates that the majority of the valley glaciers could better resist the climate change.
